# y+ ()       
# Time        	patch         	min           	max           	average       
0.0979923     	BOTTOM	3.907351e-07	2.524592e+01	2.738834e+00
0.0979923     	WALL	4.892639e-03	1.798141e+01	3.292505e+00
0.098659      	BOTTOM	4.298369e-07	2.534240e+01	2.749922e+00
0.098659      	WALL	5.024290e-03	1.804736e+01	3.292028e+00
0.0993295     	BOTTOM	1.388998e-07	2.543851e+01	2.760937e+00
0.0993295     	WALL	5.082468e-03	1.811328e+01	3.290344e+00
0.1           	BOTTOM	1.297738e-07	2.553445e+01	2.771861e+00
0.1           	WALL	5.179535e-03	1.817538e+01	3.287894e+00
0.100658      	BOTTOM	5.224198e-07	2.562965e+01	2.782707e+00
0.100658      	WALL	5.263666e-03	1.823169e+01	3.286186e+00
0.101316      	BOTTOM	8.804994e-07	2.572404e+01	2.793528e+00
0.101316      	WALL	5.312041e-03	1.828315e+01	3.282285e+00
0.101974      	BOTTOM	7.752148e-07	2.581767e+01	2.804318e+00
0.101974      	WALL	5.331397e-03	1.833075e+01	3.278633e+00
0.102627      	BOTTOM	1.057816e-06	2.591054e+01	2.815071e+00
0.102627      	WALL	5.264695e-03	1.837794e+01	3.274994e+00
0.103281      	BOTTOM	8.459301e-07	2.600267e+01	2.825769e+00
0.103281      	WALL	5.142953e-03	1.842109e+01	3.270116e+00
0.103934      	BOTTOM	5.341934e-07	2.609411e+01	2.836400e+00
0.103934      	WALL	5.004498e-03	1.846224e+01	3.262259e+00
0.104588      	BOTTOM	1.260498e-06	2.618490e+01	2.846966e+00
0.104588      	WALL	4.797242e-03	1.849573e+01	3.256200e+00
0.105241      	BOTTOM	7.632953e-07	2.627507e+01	2.857454e+00
0.105241      	WALL	4.654585e-03	1.853887e+01	3.251501e+00
0.10589       	BOTTOM	1.002525e-06	2.636463e+01	2.867837e+00
0.10589       	WALL	4.560559e-03	1.857794e+01	3.244979e+00
0.106535      	BOTTOM	2.430613e-07	2.645356e+01	2.878167e+00
0.106535      	WALL	4.502880e-03	1.861538e+01	3.238514e+00
0.107175      	BOTTOM	7.617929e-07	2.654188e+01	2.888410e+00
0.107175      	WALL	4.430109e-03	1.864792e+01	3.233221e+00
0.107815      	BOTTOM	5.061065e-07	2.662956e+01	2.898606e+00
0.107815      	WALL	4.403401e-03	1.867512e+01	3.229289e+00
0.108451      	BOTTOM	6.885212e-07	2.671662e+01	2.908753e+00
0.108451      	WALL	4.647157e-03	1.871171e+01	3.224834e+00
0.109082      	BOTTOM	7.648872e-07	2.680303e+01	2.918866e+00
0.109082      	WALL	4.876651e-03	1.875413e+01	3.218149e+00
0.109714      	BOTTOM	5.530859e-07	2.688877e+01	2.928974e+00
0.109714      	WALL	5.054596e-03	1.880820e+01	3.209363e+00
0.110345      	BOTTOM	4.690670e-07	2.697402e+01	2.939079e+00
0.110345      	WALL	5.205069e-03	1.885572e+01	3.198534e+00
